更新时间: 2025-11-20 02:44:52（北京时间）

更新时间,#genre#
2025-11-20 02:44:52,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

海南卫视,http://115.150.52.249:9668/rtp/239.252.219.178:5140$江西电信
河北卫视,http://220.173.24.135:4022/rtp/239.81.0.94:4056$广西电信
河北卫视,http://115.150.52.249:9668/rtp/239.252.220.154:5140$江西电信
河南卫视,http://220.173.24.135:4022/rtp/239.81.0.220:4056$广西电信
河南卫视,http://115.150.52.249:9668/rtp/239.252.220.189:5140$江西电信
湖北卫视,http://220.173.24.135:4022/rtp/239.81.0.112:4056$广西电信
湖北卫视,http://115.150.52.249:9668/rtp/239.252.219.208:5140$江西电信
江西卫视,http://220.173.24.135:4022/rtp/239.81.0.204:4056$广西电信
江西卫视,http://115.150.52.249:9668/rtp/239.252.220.63:5140$江西电信
四川卫视,http://220.173.24.135:4022/rtp/239.81.0.130:4056$广西电信
四川卫视,http://220.173.24.135:4022/rtp/239.81.0.80:4056$广西电信
四川卫视,http://115.150.52.249:9668/rtp/239.252.220.93:5140$江西电信
重庆卫视,http://115.150.52.249:9668/rtp/239.252.220.94:5140$江西电信
贵州卫视,http://220.173.24.135:4022/rtp/239.81.0.95:4056$广西电信
贵州卫视,http://115.150.52.249:9668/rtp/239.252.220.190:5140$江西电信
云南卫视,http://115.150.52.249:9668/rtp/239.252.219.185:5140$江西电信
天津卫视,http://220.173.24.135:4022/rtp/239.81.0.113:4056$广西电信
天津卫视,http://115.150.52.249:9668/rtp/239.252.220.61:5140$江西电信
安徽卫视,http://220.173.24.135:4022/rtp/239.81.0.211:4056$广西电信
安徽卫视,http://115.150.52.249:9668/rtp/239.252.220.83:5140$江西电信
山东卫视,http://220.173.24.135:4022/rtp/239.81.0.114:4056$广西电信
山东卫视,http://220.173.24.135:4022/rtp/239.81.0.78:4056$广西电信
山东卫视,http://115.150.52.249:9668/rtp/239.252.219.228:5140$江西电信
辽宁卫视,http://220.173.24.135:4022/rtp/239.81.0.210:4056$广西电信
辽宁卫视,http://115.150.52.249:9668/rtp/239.252.220.62:5140$江西电信
黑龙江卫视,http://220.173.24.135:4022/rtp/239.81.0.105:4056$广西电信
黑龙江卫视,http://115.150.52.249:9668/rtp/239.252.219.211:5140$江西电信
吉林卫视,http://220.173.24.135:4022/rtp/239.81.0.143:4056$广西电信
吉林卫视,http://115.150.52.249:9668/rtp/239.252.220.188:5140$江西电信
内蒙古卫视,http://115.150.52.249:9668/rtp/239.252.219.48:5140$江西电信
宁夏卫视,http://220.173.24.135:4022/rtp/239.81.0.200:4056$广西电信
山西卫视,http://115.150.52.249:9668/rtp/239.252.219.27:5140$江西电信
陕西卫视,http://115.150.52.249:9668/rtp/239.252.219.105:5140$江西电信
甘肃卫视,http://220.173.24.135:4022/rtp/239.81.0.207:4056$广西电信
甘肃卫视,http://115.150.52.249:9668/rtp/239.252.219.140:5140$江西电信
青海卫视,http://115.150.52.249:9668/rtp/239.252.219.46:5140$江西电信
新疆卫视,http://220.173.24.135:4022/rtp/239.81.0.122:4056$广西电信
新疆卫视,http://115.150.52.249:9668/rtp/239.252.219.100:5140$江西电信
西藏卫视,http://220.173.24.135:4022/rtp/239.81.0.90:4056$广西电信
三沙卫视,http://115.150.52.249:9668/rtp/239.252.219.76:5140$江西电信
兵团卫视,http://220.173.24.135:4022/rtp/239.81.0.223:4056$广西电信
兵团卫视,http://115.150.52.249:9668/rtp/239.252.219.107:5140$江西电信
山东教育卫视,http://220.173.24.135:4022/rtp/239.81.0.93:4056$广西电信
山东教育卫视,http://115.150.52.249:9668/rtp/239.252.219.74:5140$江西电信
中国教育1台,http://220.173.24.135:4022/rtp/239.81.0.92:4056$广西电信
中国教育1台,http://115.150.52.249:9668/rtp/239.252.220.198:5140$江西电信
中国教育2台,http://220.173.24.135:4022/rtp/239.81.0.245:4056$广西电信
中国教育2台,http://115.150.52.249:9668/rtp/239.252.219.73:5140$江西电信
中国教育4台,http://220.173.24.135:4022/rtp/239.81.0.188:4056$广西电信
中国教育4台,http://115.150.52.249:9668/rtp/239.252.219.169:5140$江西电信

数字频道,#genre#
CHC动作电影,http://220.173.24.135:4022/rtp/239.81.0.239:4056$广西电信
CHC动作电影,http://115.150.52.249:9668/rtp/239.252.219.85:5140$江西电信
CHC家庭影院,http://220.173.24.135:4022/rtp/239.81.0.238:4056$广西电信
CHC家庭影院,http://115.150.52.249:9668/rtp/239.252.219.84:5140$江西电信
CHC影迷电影,http://220.173.24.135:4022/rtp/239.81.0.240:4056$广西电信
CHC影迷电影,http://115.150.52.249:9668/rtp/239.252.219.83:5140$江西电信
星空卫视,http://171.213.234.154:4022/rtp/239.93.0.156:2193$四川电信
星空卫视,http://171.213.218.244:8888/rtp/239.93.0.156:2193$四川电信
星空卫视,http://171.213.226.239:4022/rtp/239.93.0.156:2193$四川电信
CHANNEL[V],http://171.213.234.154:4022/rtp/239.93.0.157:2194$四川电信
CHANNEL[V],http://171.213.218.244:8888/rtp/239.93.0.157:2194$四川电信
CHANNEL[V],http://171.213.226.239:4022/rtp/239.93.0.157:2194$四川电信
求索纪录,http://220.173.24.135:4022/rtp/239.81.0.153:4056$广西电信
金鹰纪实,http://220.173.24.135:4022/rtp/239.81.0.91:4056$广西电信
金鹰纪实,http://115.150.52.249:9668/rtp/239.252.220.155:5140$江西电信
纪实科教,http://220.173.24.135:4022/rtp/239.81.0.195:4056$广西电信
快乐垂钓,http://115.150.52.249:9668/rtp/239.252.220.177:5140$江西电信
茶频道,http://115.150.52.249:9668/rtp/239.252.220.160:5140$江西电信
先锋乒羽,http://220.173.24.135:4022/rtp/239.81.0.236:4056$广西电信
梨园频道,http://115.150.52.249:9668/rtp/239.252.220.179:5140$江西电信
文物宝库,http://115.150.52.249:9668/rtp/239.252.220.158:5140$江西电信
武术世界,http://115.150.52.249:9668/rtp/239.252.220.180:5140$江西电信
新动漫,http://220.173.24.135:4022/rtp/239.81.0.235:4056$广西电信
